Gene ID,TOOL,PRODUCT
single_protein_2457,,hypothetical protein
single_protein_2458,,hypothetical protein
single_protein_246,,hypothetical protein
single_protein_2460,,hypothetical protein
single_protein_2461,,hypothetical protein
single_protein_2462,,hypothetical protein
single_protein_2463,,hypothetical protein
single_protein_2464,,hypothetical protein
single_protein_2466,,hypothetical protein
single_protein_2467,,hypothetical protein
single_protein_2468,,hypothetical protein
single_protein_2469,,hypothetical protein
single_protein_2470,PFAM,Integrase catalytic region
single_protein_2471,,hypothetical protein
single_protein_2472,,hypothetical protein
single_protein_2474,PFAM,Fertility inhibition FinO-like protein
single_protein_2475,,hypothetical protein
single_protein_2476,,hypothetical protein
single_protein_2478,PFAM,plasmid replicase
single_protein_2479,,hypothetical protein
single_protein_248,,hypothetical protein
single_protein_2480,,hypothetical protein
single_protein_2481,,hypothetical protein
single_protein_2482,,hypothetical protein
single_protein_2483,,hypothetical protein
single_protein_2484,,hypothetical protein
single_protein_2486,,hypothetical protein
single_protein_2487,,hypothetical protein
single_protein_2488,,hypothetical protein
single_protein_2489,,hypothetical protein
single_protein_249,,hypothetical protein
single_protein_2491,,hypothetical protein
single_protein_2492,,hypothetical protein
single_protein_2493,,hypothetical protein
single_protein_2494,PFAM,UvrD-like DNA helicase
single_protein_2495,,hypothetical protein
single_protein_2496,,hypothetical protein
single_protein_2497,,hypothetical protein
single_protein_2498,,hypothetical protein
single_protein_2499,,hypothetical protein
single_protein_25,,hypothetical protein
single_protein_250,,hypothetical protein
single_protein_2501,,hypothetical protein
single_protein_2502,PFAM,restriction endonuclease
single_protein_2503,,hypothetical protein
single_protein_2504,PFAM,regulatory protein LacI
single_protein_2505,,hypothetical protein
single_protein_2506,,hypothetical protein
single_protein_2507,,hypothetical protein
single_protein_2508,,hypothetical protein
single_protein_2509,,hypothetical protein
single_protein_251,,hypothetical protein
single_protein_2510,,hypothetical protein
single_protein_2511,,hypothetical protein
single_protein_2512,,hypothetical protein
single_protein_2514,,hypothetical protein
single_protein_2515,TIGR,"malonate decarboxylase, epsilon subunit"
single_protein_2517,,hypothetical protein
single_protein_2519,PFAM,Pili assembly chaperone
single_protein_252,,hypothetical protein
single_protein_2522,,hypothetical protein
single_protein_2523,,hypothetical protein
single_protein_2524,,hypothetical protein
single_protein_2525,,hypothetical protein
single_protein_2526,,hypothetical protein
single_protein_2527,,hypothetical protein
single_protein_2528,HAMAP,Recombination-associated protein rdgC
single_protein_253,,hypothetical protein
single_protein_2530,,hypothetical protein
single_protein_2531,,hypothetical protein
single_protein_2533,,hypothetical protein
single_protein_2534,,hypothetical protein
single_protein_2535,,hypothetical protein
single_protein_2536,,hypothetical protein
single_protein_2537,,hypothetical protein
single_protein_2539,,hypothetical protein
single_protein_254,TIGR,"phage portal protein, lambda family"
single_protein_2540,,hypothetical protein
single_protein_2542,PFAM,protein of unknown function DUF1471
single_protein_2543,,hypothetical protein
single_protein_2544,,hypothetical protein
single_protein_2545,,hypothetical protein
single_protein_2546,,hypothetical protein
single_protein_2548,,hypothetical protein
single_protein_2549,PFAM,ABC transporter related protein
single_protein_255,,hypothetical protein
single_protein_2550,,hypothetical protein
single_protein_2551,,hypothetical protein
single_protein_2552,,hypothetical protein
single_protein_2553,,hypothetical protein
single_protein_2554,,hypothetical protein
single_protein_2555,,hypothetical protein
single_protein_2556,,hypothetical protein
single_protein_2557,,hypothetical protein
single_protein_2558,TIGR,"malonate decarboxylase, gamma subunit"
single_protein_2559,,hypothetical protein
single_protein_256,TIGR,"malonate decarboxylase, alpha subunit"
single_protein_2560,,hypothetical protein
single_protein_2561,,hypothetical protein
single_protein_2562,,hypothetical protein
single_protein_2564,,hypothetical protein
single_protein_2565,,hypothetical protein
single_protein_2566,,hypothetical protein
single_protein_2567,PFAM,glycoside hydrolase family 16
single_protein_2568,,hypothetical protein
single_protein_2569,PFAM,porin Gram-negative type
single_protein_257,,hypothetical protein
single_protein_2570,,hypothetical protein
single_protein_2571,,hypothetical protein
single_protein_2572,,hypothetical protein
single_protein_2573,,hypothetical protein
single_protein_2574,,hypothetical protein
single_protein_2575,,hypothetical protein
single_protein_2576,,hypothetical protein
single_protein_2578,,hypothetical protein
single_protein_2579,,hypothetical protein
single_protein_258,PFAM,acriflavin resistance protein
single_protein_2580,,hypothetical protein
single_protein_2581,,hypothetical protein
single_protein_2582,,hypothetical protein
single_protein_2583,,hypothetical protein
single_protein_2584,,hypothetical protein
single_protein_2585,,hypothetical protein
single_protein_2587,,hypothetical protein
single_protein_2588,,hypothetical protein
single_protein_2589,PFAM,regulatory protein LacI
single_protein_2592,,hypothetical protein
single_protein_2593,,hypothetical protein
single_protein_2594,,hypothetical protein
single_protein_2595,,hypothetical protein
single_protein_2596,PFAM,Colicin E1 (microcin) immunity protein
single_protein_2597,,hypothetical protein
single_protein_2598,,hypothetical protein
single_protein_2599,,hypothetical protein
single_protein_26,,hypothetical protein
single_protein_260,PFAM,Protein of unknown function DUF2057
single_protein_2600,,hypothetical protein
single_protein_2601,,hypothetical protein
single_protein_2603,PFAM,permease YjgP/YjgQ family protein
single_protein_2604,,hypothetical protein
single_protein_2606,,hypothetical protein
single_protein_2607,,hypothetical protein
single_protein_2608,,hypothetical protein
single_protein_2609,,hypothetical protein
single_protein_261,,hypothetical protein
single_protein_2610,,hypothetical protein
single_protein_2611,PFAM,Cobyrinic acid ac-diamide synthase
single_protein_2612,,hypothetical protein
single_protein_2614,,hypothetical protein
single_protein_2615,,hypothetical protein
single_protein_2616,,hypothetical protein
single_protein_2617,,hypothetical protein
single_protein_2618,,hypothetical protein
single_protein_2619,,hypothetical protein
single_protein_262,PFAM,Enoyl-CoA hydratase/isomerase
single_protein_2620,,hypothetical protein
single_protein_2621,PFAM,P-type DNA transfer protein VirB5
single_protein_2622,,hypothetical protein
single_protein_2623,,hypothetical protein
single_protein_2624,,hypothetical protein
single_protein_2625,PFAM,NLP/P60 protein
single_protein_2626,,hypothetical protein
single_protein_2627,PFAM,4'-phosphopantetheinyl transferase
single_protein_2628,,hypothetical protein
single_protein_2629,,hypothetical protein
single_protein_263,,hypothetical protein
single_protein_2630,,hypothetical protein
single_protein_2631,,hypothetical protein
single_protein_2632,,hypothetical protein
single_protein_2633,,hypothetical protein
single_protein_2634,,hypothetical protein
single_protein_2635,,hypothetical protein
single_protein_2636,TIGR,conjugative transfer relaxase protein TraI
single_protein_2637,,hypothetical protein
single_protein_2638,,hypothetical protein
single_protein_2639,PFAM,Prophage CP4-57 regulatory
single_protein_2640,,hypothetical protein
single_protein_2641,,hypothetical protein
single_protein_2642,,hypothetical protein
single_protein_2643,,hypothetical protein
single_protein_2645,,hypothetical protein
single_protein_2646,,hypothetical protein
single_protein_2647,PFAM,"Protein of unknown function DUF3751, tail fiber protein"
single_protein_2648,,hypothetical protein
single_protein_2649,PFAM,Acyl-CoA dehydrogenase type 2  domain-containing protein
single_protein_265,,hypothetical protein
single_protein_2650,,hypothetical protein
single_protein_2652,,hypothetical protein
single_protein_2653,,hypothetical protein
single_protein_2654,PFAM,Aldehyde Dehydrogenase
single_protein_2655,,hypothetical protein
single_protein_2656,,hypothetical protein
single_protein_2657,,hypothetical protein
single_protein_2658,,hypothetical protein
single_protein_2659,,hypothetical protein
single_protein_2660,,hypothetical protein
single_protein_2661,,hypothetical protein
single_protein_2663,TIGR,phosphonate metabolism protein PhnM
single_protein_2664,,hypothetical protein
single_protein_2665,,hypothetical protein
single_protein_2666,PFAM,ABC transporter related protein
single_protein_2667,,hypothetical protein
single_protein_2668,PFAM,Lytic transglycosylase catalytic
single_protein_267,,hypothetical protein
single_protein_2670,,hypothetical protein
single_protein_2671,HAMAP,D-alanine--D-alanine ligase
single_protein_2672,,hypothetical protein
single_protein_2673,,hypothetical protein
single_protein_2674,,hypothetical protein
single_protein_2675,,hypothetical protein
single_protein_2676,TIGR,heme exporter protein CcmB
single_protein_2677,,hypothetical protein
single_protein_2678,PFAM,sulfate transporter
single_protein_2679,,hypothetical protein
single_protein_268,PFAM,transcription factor jumonji jmjC domain-containing protein
single_protein_2680,,hypothetical protein
single_protein_2681,,hypothetical protein
single_protein_2683,,hypothetical protein
single_protein_2685,,hypothetical protein
single_protein_2686,,hypothetical protein
single_protein_2687,,hypothetical protein
single_protein_2688,,hypothetical protein
single_protein_2689,,hypothetical protein
single_protein_269,,hypothetical protein
single_protein_2690,,hypothetical protein
single_protein_2691,PFAM,minor tail family protein
single_protein_2692,,hypothetical protein
single_protein_2693,,hypothetical protein
single_protein_2694,,hypothetical protein
single_protein_2695,,hypothetical protein
single_protein_2696,PFAM,transposase mutator type
single_protein_2697,TIGR,phage N-6-adenine-methyltransferase
single_protein_2698,,hypothetical protein
single_protein_2699,PFAM,site-binding protein DNA replication region
single_protein_27,PFAM,Na+/solute symporter
single_protein_270,,hypothetical protein
single_protein_2700,,hypothetical protein
single_protein_2701,,hypothetical protein
single_protein_2702,,hypothetical protein
single_protein_2703,,hypothetical protein
single_protein_2704,,hypothetical protein
single_protein_2705,PFAM,pentapeptide repeat protein
single_protein_2706,,hypothetical protein
single_protein_2707,PFAM,Pathogenesis-related transcriptional factor and ERF protein
single_protein_2708,,hypothetical protein
single_protein_2709,,hypothetical protein
single_protein_271,,hypothetical protein
single_protein_2710,PFAM,protein of unknown function DUF551
single_protein_2711,,hypothetical protein
single_protein_2712,,hypothetical protein
single_protein_2713,,hypothetical protein
single_protein_2714,,hypothetical protein
single_protein_2715,PFAM,Na+ dependent nucleoside transporter domain protein
single_protein_2716,,hypothetical protein
single_protein_2718,,hypothetical protein
single_protein_2719,,hypothetical protein
single_protein_2720,,hypothetical protein
single_protein_2721,,hypothetical protein
single_protein_2722,,hypothetical protein
single_protein_2723,PFAM,chromosome segregation and condensation protein MukE
single_protein_2724,,hypothetical protein
single_protein_2725,,hypothetical protein
single_protein_2726,,hypothetical protein
single_protein_2727,,hypothetical protein
single_protein_2728,,hypothetical protein
single_protein_2729,PFAM,major facilitator superfamily MFS_1
single_protein_273,,hypothetical protein
